id,timeAndLoc,beat,scored
1, Oct 20, CHO (1-0) beat IND, 123-122
2, Oct 22 @ CLE, CHO (2-0) beat CLE, 123-112
3, Oct 24 @ BRK, CHO (3-0) beat BRK, 111-95
4, Oct 25, CHO (3-1) lost to BOS, 129-140
5, Oct 27 @ ORL, CHO (4-1) beat ORL, 120-111
6, Oct 29 @ MIA, CHO (4-2) lost to MIA, 99-114
7, Oct 31, CHO (5-2) beat POR, 125-113
8, Nov 1, CHO (5-3) lost to CLE, 110-113
9, Nov 3 @ GSW, CHO (5-4) lost to GSW, 92-114
10, Nov 5 @ SAC, CHO (5-5) lost to SAC, 110-140
11, Nov 7 @ LAC, CHO (5-6) lost to LAC, 106-120
12, Nov 8 @ LAL, CHO (5-7) lost to LAL, 123-126
13, Nov 10 @ MEM, CHO (6-7) beat MEM, 118-108
14, Nov 12, CHO (7-7) beat NYK, 104-96
15, Nov 14, CHO (8-7) beat GSW, 106-102
16, Nov 17, CHO (9-7) beat WAS, 97-87
17, Nov 19, CHO (10-7) beat IND, 121-118
18, Nov 20 @ ATL, CHO (10-8) lost to ATL, 105-115
19, Nov 22 @ WAS, CHO (11-8) beat WAS, 109-103
20, Nov 24 @ ORL, CHO (12-8) beat ORL, 106-99
21, Nov 26, CHO (13-8) beat MIN, 133-115
22, Nov 27 @ HOU, CHO (13-9) lost to HOU, 143-146
23, Nov 29 @ CHI, CHO (13-10) lost to CHI, 119-133
24, Dec 1 @ MIL, CHO (13-11) lost to MIL, 125-127
25, Dec 5 @ ATL, CHO (14-11) beat ATL, 130-127
26, Dec 6, CHO (14-12) lost to PHI, 124-127
27, Dec 8, CHO (14-13) lost to PHI, 106-110
28, Dec 10, CHO (15-13) beat SAC, 124-123
